EmployeeNumber,Age,Gender,Edu,Education,MaritalStatus,Over18,Department,BusinessTravel,DistanceFromHome,EducationField,EmployeeCount,StandardHours
141,50,Female,4,Master,Single,Y,Research & Development,Travel_Frequently,1,Medical,1,80
142,25,Male,3,Bachelor,Single,Y,Research & Development,Travel_Frequently,7,Life Sciences,1,80
143,25,Male,3,Bachelor,Single,Y,Human Resources,Non-Travel,26,Human Resources,1,80
144,22,Female,1,Below College,Married,Y,Research & Development,Travel_Rarely,18,Life Sciences,1,80
145,51,Female,4,Master,Divorced,Y,Research & Development,Travel_Rarely,6,Life Sciences,1,80
147,34,Male,3,Bachelor,Single,Y,Sales,Travel_Rarely,3,Life Sciences,1,80
148,54,Female,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,5,Medical,1,80
150,24,Male,2,College,Married,Y,Sales,Travel_Frequently,11,Technical Degree,1,80
151,34,Female,2,College,Divorced,Y,Research & Development,Travel_Rarely,3,Life Sciences,1,80
152,37,Male,2,College,Married,Y,Sales,Travel_Frequently,26,Life Sciences,1,80
153,34,Female,3,Bachelor,Divorced,Y,Research & Development,Travel_Frequently,23,Life Sciences,1,80
154,36,Female,2,College,Married,Y,Sales,Non-Travel,22,Marketing,1,80
155,36,Female,4,Master,Married,Y,Research & Development,Travel_Rarely,14,Life Sciences,1,80
158,43,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,6,Life Sciences,1,80
159,30,Male,4,Master,Married,Y,Sales,Travel_Rarely,6,Life Sciences,1,80
160,33,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,6,Other,1,80
161,56,Female,1,Below College,Single,Y,Sales,Travel_Rarely,22,Marketing,1,80
162,51,Male,1,Below College,Married,Y,Research & Development,Travel_Rarely,2,Technical Degree,1,80
163,31,Male,4,Master,Married,Y,Research & Development,Travel_Rarely,20,Medical,1,80
164,26,Female,3,Bachelor,Single,Y,Research & Development,Travel_Frequently,28,Medical,1,80
165,58,Female,3,Bachelor,Single,Y,Sales,Travel_Frequently,12,Marketing,1,80
167,19,Male,3,Bachelor,Married,Y,Sales,Travel_Rarely,20,Life Sciences,1,80
169,22,Male,1,Below College,Divorced,Y,Sales,Travel_Rarely,9,Life Sciences,1,80
170,49,Female,1,Below College,Married,Y,Human Resources,Travel_Rarely,25,Life Sciences,1,80
171,43,Female,2,College,Divorced,Y,Research & Development,Travel_Rarely,6,Medical,1,80
174,50,Female,4,Master,Single,Y,Research & Development,Travel_Frequently,8,Life Sciences,1,80
175,31,Female,4,Master,Married,Y,Sales,Travel_Rarely,4,Life Sciences,1,80
176,41,Male,3,Bachelor,Married,Y,Sales,Travel_Rarely,28,Life Sciences,1,80
177,26,Female,3,Bachelor,Married,Y,Human Resources,Travel_Rarely,9,Human Resources,1,80
178,36,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,9,Medical,1,80
179,51,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,29,Medical,1,80
182,39,Female,5,Doctor,Single,Y,Research & Development,Travel_Rarely,3,Technical Degree,1,80
183,25,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,18,Life Sciences,1,80
184,30,Male,2,College,Divorced,Y,Sales,Travel_Frequently,9,Medical,1,80
190,32,Female,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,5,Technical Degree,1,80
192,45,Male,1,Below College,Single,Y,Research & Development,Travel_Rarely,2,Medical,1,80
193,38,Female,3,Bachelor,Divorced,Y,Research & Development,Travel_Frequently,10,Life Sciences,1,80
194,30,Female,1,Below College,Single,Y,Research & Development,Travel_Rarely,3,Medical,1,80
195,32,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Frequently,26,Medical,1,80
197,30,Female,5,Doctor,Married,Y,Sales,Travel_Rarely,1,Marketing,1,80
198,30,Male,2,College,Married,Y,Sales,Travel_Rarely,6,Marketing,1,80
199,41,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,9,Life Sciences,1,80
200,41,Male,3,Bachelor,Single,Y,Sales,Travel_Frequently,8,Marketing,1,80
201,19,Female,1,Below College,Married,Y,Research & Development,Non-Travel,1,Technical Degree,1,80
202,40,Female,4,Master,Married,Y,Sales,Travel_Rarely,4,Marketing,1,80
204,35,Male,4,Master,Married,Y,Sales,Travel_Frequently,2,Marketing,1,80
205,53,Male,1,Below College,Married,Y,Research & Development,Travel_Rarely,19,Medical,1,80
206,45,Male,3,Bachelor,Divorced,Y,Research & Development,Non-Travel,9,Medical,1,80
207,32,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,21,Medical,1,80
208,29,Male,2,College,Divorced,Y,Research & Development,Travel_Rarely,24,Life Sciences,1,80
211,51,Male,3,Bachelor,Divorced,Y,Research & Development,Non-Travel,3,Medical,1,80
214,58,Female,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,11,Life Sciences,1,80
215,40,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,14,Life Sciences,1,80
216,34,Female,3,Bachelor,Married,Y,Sales,Travel_Rarely,5,Life Sciences,1,80
217,22,Male,4,Master,Single,Y,Sales,Travel_Rarely,1,Life Sciences,1,80
218,27,Male,5,Doctor,Single,Y,Research & Development,Travel_Rarely,6,Life Sciences,1,80
221,28,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,17,Technical Degree,1,80
223,57,Male,1,Below College,Single,Y,Sales,Travel_Frequently,1,Technical Degree,1,80
224,27,Male,2,College,Single,Y,Research & Development,Travel_Frequently,3,Medical,1,80
226,50,Female,2,College,Divorced,Y,Sales,Travel_Rarely,4,Life Sciences,1,80
227,41,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,8,Life Sciences,1,80
228,30,Female,2,College,Divorced,Y,Sales,Travel_Rarely,1,Marketing,1,80
230,38,Female,2,College,Single,Y,Research & Development,Travel_Rarely,9,Life Sciences,1,80
231,32,Male,1,Below College,Married,Y,Research & Development,Travel_Rarely,12,Medical,1,80
233,27,Male,2,College,Single,Y,Research & Development,Travel_Rarely,27,Medical,1,80
235,19,Female,2,College,Single,Y,Sales,Travel_Rarely,20,Marketing,1,80
238,36,Male,2,College,Divorced,Y,Research & Development,Travel_Rarely,13,Medical,1,80
239,30,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,14,Medical,1,80
240,45,Female,1,Below College,Married,Y,Research & Development,Travel_Rarely,4,Medical,1,80
241,56,Female,4,Master,Single,Y,Research & Development,Travel_Rarely,14,Medical,1,80
242,33,Male,1,Below College,Married,Y,Research & Development,Travel_Frequently,2,Life Sciences,1,80
243,19,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,3,Medical,1,80
244,46,Female,4,Master,Married,Y,Research & Development,Travel_Rarely,1,Life Sciences,1,80
245,38,Female,2,College,Married,Y,Research & Development,Travel_Rarely,23,Life Sciences,1,80
246,31,Female,3,Bachelor,Divorced,Y,Research & Development,Non-Travel,7,Medical,1,80
247,34,Female,2,College,Married,Y,Research & Development,Non-Travel,2,Medical,1,80
248,41,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,21,Life Sciences,1,80
249,50,Male,3,Bachelor,Single,Y,Research & Development,Travel_Frequently,2,Medical,1,80
250,53,Female,2,College,Divorced,Y,Research & Development,Non-Travel,21,Medical,1,80
252,33,Female,4,Master,Married,Y,Research & Development,Travel_Rarely,2,Life Sciences,1,80
253,40,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,29,Technical Degree,1,80
254,55,Male,1,Below College,Married,Y,Research & Development,Travel_Frequently,1,Technical Degree,1,80
256,34,Male,4,Master,Divorced,Y,Research & Development,Non-Travel,18,Life Sciences,1,80
258,51,Female,4,Master,Divorced,Y,Research & Development,Travel_Frequently,10,Medical,1,80
259,52,Male,2,College,Married,Y,Research & Development,Travel_Rarely,19,Medical,1,80
260,27,Female,1,Below College,Married,Y,Research & Development,Travel_Rarely,29,Medical,1,80
261,35,Male,3,Bachelor,Married,Y,Sales,Travel_Rarely,27,Marketing,1,80
262,43,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,5,Life Sciences,1,80
264,45,Male,1,Below College,Single,Y,Research & Development,Travel_Frequently,18,Medical,1,80
267,37,Male,5,Doctor,Married,Y,Research & Development,Non-Travel,9,Life Sciences,1,80
269,35,Female,4,Master,Divorced,Y,Research & Development,Travel_Rarely,1,Medical,1,80
270,42,Female,4,Master,Married,Y,Sales,Travel_Rarely,4,Medical,1,80
271,38,Male,1,Below College,Single,Y,Research & Development,Non-Travel,1,Life Sciences,1,80
273,38,Male,3,Bachelor,Single,Y,Sales,Travel_Frequently,20,Life Sciences,1,80
274,27,Male,4,Master,Married,Y,Research & Development,Travel_Rarely,8,Life Sciences,1,80
275,49,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,3,Technical Degree,1,80
277,34,Male,3,Bachelor,Single,Y,Sales,Travel_Rarely,6,Life Sciences,1,80
281,40,Male,4,Master,Single,Y,Sales,Travel_Frequently,26,Marketing,1,80
282,38,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,1,Technical Degree,1,80
283,29,Female,3,Bachelor,Single,Y,Sales,Non-Travel,6,Medical,1,80
284,22,Male,3,Bachelor,Married,Y,Sales,Travel_Rarely,3,Marketing,1,80
286,36,Female,2,College,Single,Y,Research & Development,Travel_Rarely,5,Life Sciences,1,80
287,40,Male,4,Master,Married,Y,Research & Development,Travel_Rarely,4,Medical,1,80
288,46,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Frequently,11,Other,1,80
291,32,Male,3,Bachelor,Divorced,Y,Sales,Travel_Rarely,3,Life Sciences,1,80
292,30,Male,4,Master,Married,Y,Research & Development,Non-Travel,1,Medical,1,80
293,27,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,3,Life Sciences,1,80
296,51,Male,4,Master,Divorced,Y,Sales,Travel_Frequently,4,Marketing,1,80
297,30,Female,1,Below College,Married,Y,Sales,Travel_Frequently,1,Medical,1,80
298,41,Female,3,Bachelor,Single,Y,Sales,Travel_Frequently,1,Marketing,1,80
299,30,Female,1,Below College,Single,Y,Research & Development,Travel_Rarely,18,Medical,1,80
300,29,Male,2,College,Married,Y,Research & Development,Travel_Rarely,4,Technical Degree,1,80
302,45,Female,2,College,Married,Y,Human Resources,Travel_Rarely,6,Medical,1,80
303,54,Female,4,Master,Divorced,Y,Sales,Travel_Rarely,1,Medical,1,80
304,36,Male,3,Bachelor,Married,Y,Sales,Travel_Rarely,16,Marketing,1,80
305,33,Female,2,College,Married,Y,Research & Development,Travel_Rarely,2,Life Sciences,1,80
306,37,Male,4,Master,Single,Y,Sales,Non-Travel,2,Life Sciences,1,80
307,38,Male,2,College,Married,Y,Sales,Travel_Rarely,4,Life Sciences,1,80
308,31,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,1,Life Sciences,1,80
309,59,Male,4,Master,Married,Y,Sales,Non-Travel,26,Marketing,1,80
311,37,Male,2,College,Divorced,Y,Research & Development,Travel_Rarely,19,Life Sciences,1,80
312,29,Female,2,College,Divorced,Y,Research & Development,Travel_Rarely,24,Technical Degree,1,80
314,35,Female,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,1,Other,1,80
315,29,Male,4,Master,Divorced,Y,Research & Development,Travel_Frequently,3,Medical,1,80
316,52,Female,4,Master,Married,Y,Research & Development,Travel_Frequently,7,Life Sciences,1,80
319,42,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Frequently,10,Medical,1,80
321,59,Male,4,Master,Single,Y,Research & Development,Travel_Frequently,2,Technical Degree,1,80
323,50,Female,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,15,Life Sciences,1,80
325,33,Male,2,College,Single,Y,Research & Development,Travel_Rarely,17,Life Sciences,1,80
327,43,Female,2,College,Divorced,Y,Sales,Travel_Rarely,20,Marketing,1,80
328,33,Female,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,2,Medical,1,80
329,52,Male,2,College,Single,Y,Research & Development,Travel_Frequently,29,Medical,1,80
330,32,Female,3,Bachelor,Married,Y,Research & Development,Travel_Frequently,7,Life Sciences,1,80
331,32,Male,2,College,Married,Y,Sales,Non-Travel,2,Life Sciences,1,80
332,39,Female,1,Below College,Single,Y,Research & Development,Travel_Rarely,2,Technical Degree,1,80
333,32,Male,3,Bachelor,Married,Y,Sales,Travel_Rarely,2,Technical Degree,1,80
334,41,Male,4,Master,Single,Y,Research & Development,Travel_Rarely,2,Life Sciences,1,80
335,40,Male,3,Bachelor,Married,Y,Sales,Travel_Rarely,2,Medical,1,80
336,45,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,23,Medical,1,80
337,31,Male,2,College,Divorced,Y,Research & Development,Non-Travel,5,Life Sciences,1,80
338,33,Female,2,College,Married,Y,Research & Development,Travel_Rarely,20,Medical,1,80
339,34,Male,4,Master,Married,Y,Research & Development,Non-Travel,29,Life Sciences,1,80
340,37,Female,4,Master,Married,Y,Sales,Travel_Rarely,6,Medical,1,80
341,45,Male,2,College,Single,Y,Research & Development,Travel_Rarely,3,Medical,1,80
342,37,Male,4,Master,Divorced,Y,Research & Development,Non-Travel,1,Medical,1,80
343,39,Female,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,22,Life Sciences,1,80
346,29,Male,2,College,Divorced,Y,Sales,Travel_Rarely,7,Medical,1,80
347,42,Female,3,Bachelor,Divorced,Y,Research & Development,Travel_Frequently,1,Life Sciences,1,80
349,29,Male,1,Below College,Divorced,Y,Research & Development,Travel_Rarely,4,Life Sciences,1,80
350,25,Female,4,Master,Married,Y,Research & Development,Travel_Rarely,3,Medical,1,80
351,42,Female,1,Below College,Married,Y,Sales,Travel_Rarely,1,Life Sciences,1,80
352,40,Male,2,College,Single,Y,Sales,Travel_Frequently,2,Life Sciences,1,80
353,51,Male,2,College,Married,Y,Research & Development,Travel_Rarely,20,Technical Degree,1,80
355,31,Male,2,College,Married,Y,Research & Development,Travel_Frequently,11,Medical,1,80
359,32,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Frequently,24,Life Sciences,1,80
361,38,Male,4,Master,Divorced,Y,Research & Development,Travel_Rarely,23,Life Sciences,1,80
362,32,Male,4,Master,Divorced,Y,Research & Development,Travel_Rarely,16,Medical,1,80
363,46,Female,2,College,Single,Y,Research & Development,Travel_Rarely,8,Life Sciences,1,80
364,28,Male,4,Master,Single,Y,Research & Development,Travel_Frequently,10,Life Sciences,1,80
366,29,Male,3,Bachelor,Divorced,Y,Sales,Travel_Frequently,5,Marketing,1,80
367,31,Male,4,Master,Single,Y,Sales,Travel_Rarely,4,Marketing,1,80
369,25,Male,3,Bachelor,Married,Y,Research & Development,Travel_Frequently,9,Medical,1,80
372,45,Male,3,Bachelor,Married,Y,Sales,Travel_Frequently,26,Marketing,1,80
373,36,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,3,Life Sciences,1,80
374,55,Male,4,Master,Married,Y,Research & Development,Travel_Frequently,18,Life Sciences,1,80
376,47,Male,4,Master,Single,Y,Sales,Travel_Rarely,2,Life Sciences,1,80
377,28,Male,3,Bachelor,Single,Y,Sales,Travel_Rarely,10,Medical,1,80
378,37,Male,2,College,Single,Y,Research & Development,Travel_Rarely,16,Medical,1,80
379,21,Male,3,Bachelor,Married,Y,Sales,Travel_Rarely,7,Technical Degree,1,80
380,37,Female,3,Bachelor,Divorced,Y,Research & Development,Travel_Rarely,1,Medical,1,80
381,35,Female,4,Master,Married,Y,Research & Development,Non-Travel,24,Life Sciences,1,80
382,38,Female,3,Bachelor,Married,Y,Sales,Travel_Rarely,7,Life Sciences,1,80
384,26,Female,2,College,Married,Y,Research & Development,Travel_Rarely,25,Life Sciences,1,80
385,50,Male,4,Master,Divorced,Y,Research & Development,Non-Travel,1,Life Sciences,1,80
386,53,Male,4,Master,Married,Y,Research & Development,Travel_Rarely,5,Technical Degree,1,80
387,42,Male,3,Bachelor,Married,Y,Human Resources,Travel_Rarely,2,Human Resources,1,80
388,29,Male,3,Bachelor,Divorced,Y,Research & Development,Travel_Frequently,7,Life Sciences,1,80
389,55,Male,4,Master,Married,Y,Research & Development,Travel_Frequently,5,Life Sciences,1,80
390,26,Male,1,Below College,Married,Y,Research & Development,Travel_Rarely,10,Medical,1,80
391,37,Female,2,College,Single,Y,Research & Development,Travel_Rarely,1,Technical Degree,1,80
392,44,Male,4,Master,Married,Y,Research & Development,Travel_Rarely,8,Medical,1,80
393,38,Male,3,Bachelor,Single,Y,Research & Development,Travel_Rarely,5,Life Sciences,1,80
394,26,Male,2,College,Married,Y,Sales,Travel_Rarely,8,Technical Degree,1,80
395,28,Female,3,Bachelor,Single,Y,Sales,Travel_Rarely,2,Life Sciences,1,80
396,49,Female,3,Bachelor,Divorced,Y,Sales,Travel_Rarely,7,Marketing,1,80
397,36,Male,4,Master,Single,Y,Research & Development,Travel_Rarely,2,Medical,1,80
399,31,Female,4,Master,Married,Y,Research & Development,Travel_Rarely,2,Medical,1,80
401,26,Male,2,College,Married,Y,Research & Development,Travel_Rarely,28,Medical,1,80
403,37,Male,2,College,Married,Y,Research & Development,Travel_Frequently,7,Life Sciences,1,80
404,42,Female,2,College,Married,Y,Research & Development,Travel_Frequently,7,Medical,1,80
405,18,Male,2,College,Married,Y,Sales,Travel_Rarely,3,Medical,1,80
406,35,Male,3,Bachelor,Single,Y,Sales,Travel_Frequently,10,Marketing,1,80
407,36,Male,5,Doctor,Married,Y,Research & Development,Travel_Rarely,5,Life Sciences,1,80
408,51,Male,4,Master,Divorced,Y,Research & Development,Travel_Frequently,10,Life Sciences,1,80
410,41,Male,1,Below College,Married,Y,Sales,Non-Travel,1,Marketing,1,80
411,18,Female,4,Master,Single,Y,Research & Development,Travel_Frequently,20,Life Sciences,1,80
412,28,Male,3,Bachelor,Married,Y,Research & Development,Travel_Rarely,7,Life Sciences,1,80
416,31,Male,4,Master,Married,Y,Research & Development,Travel_Rarely,8,Other,1,80
417,39,Male,2,College,Married,Y,Sales,Travel_Rarely,1,Medical,1,80
